Former,Current,Type
Delphinium hansenii subsp. arcuatum,Delphinium hansenii subsp. hansenii
Delphinium hansenii var. arcuatum,Delphinium hansenii subsp. hansenii
Delphinium hesperium f. pallescens,Delphinium hesperium subsp. pallescens
Delphinium hesperium var. hansenii,Delphinium hansenii subsp. hansenii
Delphinium hesperium var. seditiosum,Delphinium parryi subsp. parryi
Delphinium parryi subsp. seditiosum,Delphinium parryi subsp. parryi
Delphinium variegatum subsp. apiculatum,Delphinium variegatum subsp. variegatum
Delphinium variegatum var. apiculatum,Delphinium variegatum subsp. variegatum
Demidovia tetragonoides,Tetragonia tetragonoides
Dendromecon herbacea,Dendromecon rigida
Dentaria californica var. cardiophylla,Cardamine californica
Dentaria californica var. cuneata,Cardamine californica
Dentaria californica var. integrifolia,Cardamine californica
Dentaria californica var. sinuata,Cardamine californica
Dentaria californica,Cardamine californica
Dentaria pachystigma var. dissectifolia,Cardamine californica
Deschampsia holciformis,Deschampsia cespitosa subsp. holciformis
Dicentra chrysantha,Ehrendorferia chrysantha
Dichanthelium acuminatum,Panicum acuminatum,INAT
Dichelostemma californicum,Dichelostemma volubile
Dichelostemma capitatum,Dipterostemon capitatus
Dichelostemma parviflorum,Dichelostemma multiflorum
Dichelostemma pulchellum,Dipterostemon capitatus
Diplachne fusca subsp. fascicularis,Leptochloa fusca subsp. fascicularis,INAT
Diplachne fusca subsp. uninervia,Leptochloa fusca subsp. uninervia,INAT
Disporum hookeri var. trachyandrum,Prosartes hookeri
Disporum hookeri,Prosartes hookeri
Distichlis spicata var. divaricata,Distichlis spicata
Distichlis spicata var. nana,Distichlis spicata
Distichlis spicata var. stolonifera,Distichlis spicata
Distichlis spicata var. stricta,Distichlis spicata
Dodecatheon clevelandii subsp. patulum,Primula clevelandii var. patula
Dodecatheon clevelandii subsp. sanctarum,Primula clevelandii var. gracilis
Dodecatheon clevelandii var. gracile,Primula clevelandii var. gracilis
Dodecatheon clevelandii var. patulum,Primula clevelandii var. patula
Dodecatheon hansenii,Primula hendersonii
Dodecatheon hendersonii subsp. cruciatum,Primula hendersonii
